المقرر,المتطلب 
بشري-230,بشري101
بشري-232,-
بشري-241,-
بشري-251,حاسب102
بشري-252,بشري101
بشري-288,جميع مقررات الخطة
بشري-299,جميع مقررات الخطة
تجار-101,-
تجار-111,-
تجار-201,-
تجار-202,ادار101
تجار-203,-
تجار-211,-
تجار-212,ادار101
تجار-213,تجار201
تجار-214,-
تجار-215,-
تجار-288,جميع مقررات الخطة
تجار-299,جميع مقررات الخطة
تجلد-012,-
تجلد-013,-
تجلد-014,-
تجلد-015,-
تجلد-016,-
تجلد-085,-
تجلد-098,-
تجمل-101,-
تجمل-111,-
تجمل-121,-
تجمل-271,-
تزين-111, تجمل111 تجمل121 
تزين-121,تجمل111
تزين-224,تزين231
تزين-231,تزين121
تزين-241,تزين121
تزين-244,تزين241
تزين-251,تزين241
تزين-288,جميع مقررات الخطة
تزين-299,جميع مقررات الخطة
تسرح-003,-
تسرح-004,-
تسرح-111,تجمل121
تسرح-211,تسرح111
تسرح-213,تسرح211
تسرح-221, تسرح111 تجمل121 
تسرح-223,تسرح221
تسرح-231,تسرح111
تسرح-241,تسرح111
تسرح-288,جميع مقررات الخطة
تسرح-299,جميع مقررات الخطة
تسوق-111,-
تسوق-121,تسوق111
تسوق-122,تسوق111
تسوق-131,تسوق111
تسوق-232,تسوق131
تسوق-241,تسوق111
تسوق-242,تسوق111
تسوق-251, تسوق111 حاسب102 
تسوق-261,تسوق111
تسوق-271,تسوق111
تسوق-285,تسوق111
تسوق-288,جميع مقررات الخطة
تسوق-299,جميع مقررات الخطة
تصمم-056,-
تصمم-057,تميد012
تصمم-062,-
تصمم-065,تميد012
تصمم-067,-
تصمم-068,-
تصمم-085,-
تصور-012,تميد011
تصور-021,تميد011
تصور-022,تصور021
تصور-031,-
تصور-032,تصور031
تصور-033,تصور021
تصور-034,تصور021
تصور-036,-
تصور-041,-
تصور-042,تصور041
تصور-043,-
تصور-047,-
تصور-048,-
تصور-049,-
تصور-051,تميد013
تصور-052,تصور071
تصور-056,-
تصور-070,-
تصور-071,تصور070
تصور-072,-
تصور-085,-
تصور-091,-
تصور-098,-
تطبع-011,-
تطبع-022,-
تطبع-031,تميد013
تطبع-032,-
تطبع-041,-
تطبع-052,-
تطبع-085,-
تطبع-091,-
تميد-011,-
تميد-012,-
تميد-013,-
تميد-020,-
ثقيل-011,مهني003
ثقيل-021,ميكا031
ثقيل-031,ميكا032
ثقيل-032,ثقيل031
ثقيل-041,ميكا012
ثقيل-042, ميكا033 ميكا034 ميكا035 
ثقيل-043,ميكا012
ثقيل-051,-
ثقيل-052,-
ثقيل-091,-
ثقيل-093,-
ثقيل-094,-
ثقيل-095,-
ثقيل-098,-
جوال-014,-
جوال-018,-
جوال-021,-
جوال-024,-
جوال-025,-
جوال-026,-
جوال-027,-
جوال-031,-
جوال-032,-
جوال-033,-
جوال-034,-
جوال-055,-
جوال-056,-
جوال-091,-
جوال-098,-
حاجك-012,-
حاجك-013,حاكر013
حاسب-001,-
حاسب-002,حاسب001
حاسب-011,حاسب002
حاسب-012,-
حاسب-013,حاسب002
حاسب-021,-
حاسب-022,حاسب021
حاسب-023,-
حاسب-024,حاسب021
حاسب-025,حاسب022
حاسب-031,-
حاسب-032,حاسب031
حاسب-041,-
حاسب-042,مهني003
حاسب-043,-
حاسب-044,حاسب041
حاسب-045,-
حاسب-051,-
حاسب-052,حاسب041
حاسب-053,حاسب052
حاسب-081,-
حاسب-083,-
حاسب-084,-
حاسب-091,-
حاسب-098,-
حاسب-101,-
حاسب-102,حاسب101
حاسب-121,-
حاسب-280,-
حاسب-302,-
حاسب-402,-
حاكر-011,-
حاكر-012,-
حاكر-013,-
حاكر-014,-
