المقرر,المتطلب 
متمر-313,-
متمر-314,-
متمر-322,متمر341
متمر-332,متمر352
متمر-341,-
متمر-342,-
متمر-352,-
متمر-412,متمر342
متمر-413,-
متمر-431,-
متمر-434,متمر342
متمر-441,-
متمر-442,-
متمر-443,متمر314
متمر-461,-
متمر-462,-
متمر-472,-
متمر-473,-
متمر-482,-
متمر-483,-
متمر-491,-
محسب-101,-
محسب-111,محسب101
محسب-131,محسب101
محسب-212,محسب111
محسب-241,محسب101
محسب-251,محسب111
محسب-261,محسب111
محسب-266,محسب212
محسب-271, حاسب102 محسب111 
محسب-273, حاسب102 محسب111 
محسب-275, محسب111 انجل112 
محسب-285,محسب212
محسب-288,جميع مقررات الخطة
محسب-299,جميع مقررات الخطة
محسب-301,-
محسب-313,محسب381
محسب-381,-
محسب-422,محسب381
محسب-424,محسب381
محسب-453,محسب313
محسب-463,محسب313
محسب-464,محسب313
محسب-465,محسب313
محسب-483,محسب313
محسب-492,محسب313
مدرع-001,-
مدرع-002,مهني002
مدرع-003,-
مدرع-004,-
مدني-001,مرسم003
مدني-002,مدرع002
مدني-003,مدرع004
مدني-004,-
مدني-005,مرسم002
مدني-006,-
مدني-007,-
مدني-008,مدني001
مدني-009,مدني002
مدني-010,-
مدني-011,مرسم002
مدني-012,مدني003
مدني-065,-
مدني-066,-
مدني-067,-
مدني-091,-
مدني-098,-
مرسم-001,-
مرسم-002,-
مرسم-003,-
مرسم-004,-
مرشد-101,سافر101
مرشد-102,-
مرشد-111,-
مرشد-112,-
مرشد-205,مرشد102
مرشد-222,-
مرشد-223,-
مرشد-231,مرشد101
مرشد-232,مرشد101
مرشد-233,مرشد231
مرشد-242,مرشد101
مرشد-288,جميع مقررات الخطة
مرشد-299,جميع مقررات الخطة
مركن-011,ميكا031
مركن-012,ميكا012
مركن-021,مركن012
مركن-022,ميكا012
مركن-023,مركن011
مركن-024,ميكا036
مركن-091,-
مركن-093,-
مركن-094,-
مركن-095,-
مركن-096,-
مركن-098,-
مساح-001,-
مساح-002,-
مساح-003,-
مساح-004,-
مساح-011,مساح003
مساح-012,مساح002
مساح-013,-
مساح-014,-
مساح-015,حاسب001
مساح-021,-
مساح-022,-
مساح-023,-
مساح-031,-
مساح-032,-
مساح-041,مساح003
مساح-043,-
مساح-044,مساح004
مساح-065,-
مساح-066,-
مساح-067,-
مساح-091,مساح002
مساح-098,-
مسدع-111,-
مسدع-121,ادار101
مسدع-131,-
مسدع-141,ادار101
مسدع-151,ادار101
مسدع-181,-
مسدع-232,-
مسدع-233,-
مسدع-234,-
مسدع-236,-
مسدع-241,-
مسدع-242,-
مسدع-252,حاسب101
مسدع-261,-
مسدع-271,-
مسدع-285,-
مسدع-288,جميع مقررات الخطة
مسدع-299,جميع مقررات الخطة
مشغل-011,-
مشغل-021,مشغل031
مشغل-031,ميكا021
مشغل-032, ميكا021 ميكا022 
مشغل-041,ميكا023
مشغل-042,مشغل041
مشغل-091,-
مشغل-093,-
مشغل-094,-
مشغل-095,-
مشغل-096,-
مشغل-098,-
مصعد-021,-
مصعد-031,-
مصعد-032,مصعد031
مصعد-033,مصعد031
مصعد-034,مصعد033
مصعد-041,مصعد031
مصعد-051,-
مصعد-052,-
مصعد-053,-
مصعد-061,مصعد041
مصعد-062,مصعد021
مصعد-063,مصعد021
مصعد-065,-
مصعد-091,-
مصعد-098,-
مصيم-141,فيزي101
مصيم-151, منتج101 منتج141 
مصيم-171, منتج101 منتج141 
مصيم-221,فيزي101
مصيم-252,مصيم151
مصيم-253, منتج101 منتج141 
مصيم-261, مصيم141 مصيم151 
مصيم-262,مصيم261
مصيم-264,مصيم261
مصيم-288,جميع مقررات الخطة
مصيم-299,جميع مقررات الخطة
مكمر-112,-
مكمر-141,-
مكمر-202,مكمر141
مكمر-243,مكمر141
مكمر-244,مكمر141
مكمر-245, متمر121 مكمر141 
مكمر-246,مكمر253
مكمر-253,متمر111
مكمر-266,-
مكمر-272,-
مكمر-282, مكمر245 مكمر246 
مكمر-285, مكمر245 مكمر246 
مكمر-288,جميع مقررات الخطة
مكمر-299,جميع مقررات الخطة
مكيم-101,-
مكيم-105,-
مكيم-111,كيمي101
مكيم-112,كيمي101
مكيم-213,كيمي101
مكيم-221,مكيم112
مكيم-222,مكيم221
مكيم-223, مكيم112 مكيم213 
مكيم-231,مكيم112
مكيم-251,-
مكيم-271,-
مكيم-288,جميع مقررات الخطة
مكيم-299,جميع مقررات الخطة
مكيم-311,-
مكيم-321,-
مكيم-322,مكيم321
مكيم-331,-
مكيم-341,-
مكيم-351,-
مكيم-412,مكيم311
مكيم-413,مكيم311
مكيم-414,-
مكيم-423,مكيم321
مكيم-432,-
مكيم-433,مكيم331
مكيم-434,-
مكيم-442,-
مكيم-491,-
ملتي-101,-
ملتي-121,-
ملتي-131,-
ملتي-141,-
ملتي-232,ملتي131
ملتي-242,ملتي141
ملتي-251,ملتي141
ملتي-261,ملتي141
ملتي-271,-
ملتي-285,-
ملتي-288,جميع مقررات الخطة
ملتي-295, ملتي232 ملتي251 
ملتي-299,جميع مقررات الخطة
منتج-101,-
منتج-111,-
منتج-121,فيزي101
منتج-131,-
منتج-141,-
منتج-145,-
منتج-232,منتج131
منتج-233,منتج131
منتج-234,منتج233
منتج-235, منتج251 منتج252 
منتج-246,منتج145
منتج-251,منتج101
منتج-252,منتج101
منتج-261,-
منتج-271,منتج101
منتج-272,منتج101
منتج-281,-
منتج-288,جميع مقررات الخطة
منتج-299,جميع مقررات الخطة
منتج-312,رياض301
منتج-321,فيزي301
منتج-323,-
منتج-341,-
منتج-344,-
منتج-345,-
منتج-374,-
منتج-431,احصا303
منتج-437,-
منتج-441,رياض301 منتج341
منتج-442,رياض301
منتج-451,رياض301 منتج341
منتج-453,احصا303
منتج-463,منتج312
منتج-471,-
منتج-472,رياض301
منتج-483,-
منتج-492,-
منتج-493,منتج492
مهني-001,-
مهني-002,-
مهني-003,-
مهني-004,-
ميكا-011,ميكا013
ميكا-012,-
ميكا-013,-
ميكا-014,-
ميكا-021,-
ميكا-022,-
ميكا-023,-
ميكا-024,-
ميكا-029,-
ميكا-031,-
ميكا-032,-
ميكا-033,-
ميكا-034,-
ميكا-035,-
ميكا-036,حاكر013
ميكا-037,-
ميكا-038,حاكر012
ميكا-039,ميكا038
ميكا-041,-
ميكا-042,-
ميكا-043,-
ميكا-044,-
ميكا-045,ميكا043
ميكا-046,ميكا072
ميكا-051,-
ميكا-061,-
ميكا-071,-
ميكا-072,-
ميكس-211,-
ميكس-212,-
ميكس-213,اجدق233
ميكس-214,اجدق233
ميكس-288,جميع مقررات الخطة
ميكس-291,ميكس211
ميكس-299,جميع مقررات الخطة
نجار-011,-
نجار-021,-
نجار-022,-
نجار-031,-
نجار-041,نجار011
نجار-042,نجار011
نجار-051,نجار021
نجار-052,نجار021
نجار-053,نجار021
نجار-054,نجار021
نجار-055,نجار054
نجار-061,نجار021
نجار-065,-
نجار-066,-
نجار-071,نجار021
نجار-072,نجار021
نجار-075,-
نجار-076,-
نجار-077,-
نجار-081,نجار021
نجار-082,نجار021
نجار-085,-
نجار-086,-
نجار-087,-
نجار-091,-
نجار-095,-
نجار-098,-
نحسب-085,-
نحسب-086,-
نخيط-085,-
نخيط-086,-
نخيل-085,-
ندير-085,-
ندير-086,-
نزين-085,-
نزين-086,-
نسرح-085,-
نسوق-085,-
نسوق-086,-
نشاط-001,-
نشاط-002,-
نشاط-003,-
نشبك-121,حاسب121
نشبك-231,داعم151
نشبك-241,نشبك231
نشبك-261,نشبك231
نشبك-285,نشبك121
نشبك-288,جميع مقررات الخطة
نشبك-295,نشبك231
نشبك-299,جميع مقررات الخطة
نشبك-312,-
نشبك-343,-
نشبك-351,-
نشبك-371,نشبك312
نشبك-443,نشبك452
نشبك-444,نشبك312
نشبك-452,نشبك351
نشبك-453,نشبك371
نشبك-454,نشبك453
نشبك-481,-
نشبك-482,-
نشبك-483,نشبك371
نشبك-484, نشبك312 نشبك351 
نشبك-485,-
نشبك-492, نشبك452 نشبك483 
نظار-101,-
نظار-102,نظار101
نظار-103,-
نظار-104,نظار152
نظار-113,نظار102
نظار-150,-
نظار-152,فيزي101
نظار-211,نظار113
نظار-214,نظار242
نظار-223,نظار104
نظار-241,نظار242
نظار-242,نظار113
نظار-243,نظار242
نظار-251,نظار104
نظار-261,-
نظار-288,جميع مقررات الخطة
نظار-299,جميع مقررات الخطة
نكسو-085,-
نكسو-086,-
نكيم-101,-
نكيم-102,-
نكيم-161,نكيم102
نكيم-162,نكيم102
نكيم-221,كيمي101
نكيم-231,نكيم102
نكيم-232, نكيم161 نكيم162 
نكيم-240,نكيم161
نكيم-241,كيمي101
نكيم-242,نكيم162
نكيم-244,كيمي101
نكيم-251,نكيم232
نكيم-281,نكيم162
نكيم-288,جميع مقررات الخطة
نكيم-299,جميع مقررات الخطة
نكيم-321,-
نكيم-322,-
نكيم-331,-
نكيم-332,-
نكيم-333,نكيم331
نكيم-341,-
نكيم-365,نكيم331
نكيم-411,نكيم331
نكيم-413,نكيم331
نكيم-414,-
نكيم-424,-
نكيم-434,نكيم331
نكيم-444,-
نكيم-446,نكيم331
نكيم-461,-
نكيم-465,-
نكيم-491,نكيم434
يشيد-311,-
يشيد-312,-
يشيد-321,-
يشيد-334,رياض301
يشيد-341,رياض301
يشيد-372,يشيد311
يشيد-373,-
يشيد-374,يشيد373
يشيد-381,يشيد321
يشيد-403,-
يشيد-404,-
يشيد-405,-
يشيد-431,-
يشيد-433,-
يشيد-435,-
يشيد-463,يشيد381
يشيد-464,يشيد311
يشيد-465,يشيد381
يشيد-473,يشيد311
يشيد-475,-
يشيد-476,يشيد334
يشيد-486,-
يشيد-491,-
يعمر-123,-
يعمر-124,-
يعمر-125,يعمر123
يعمر-126,يعمر124
يعمر-131,-
يعمر-214,رياض121
يعمر-227, يعمر124 
يعمر-228,يعمر124
يعمر-229,يعمر124
يعمر-234,-
يعمر-262,يعمر124
يعمر-272,-
يعمر-281,يعمر282
يعمر-282,يعمر126
يعمر-288,جميع مقررات الخطة
يعمر-299,جميع مقررات الخطة
يمدن-101,-
يمدن-102,-
يمدن-111,-
يمدن-112,رياض121
يمدن-121,-
يمدن-122,حاسب101
يمدن-141,رياض121
يمدن-213,-
يمدن-232,يمدن111
يمدن-233,يمدن112
يمدن-251,-
يمدن-252,-
يمدن-261,يمدن213
يمدن-271,يمدن112
يمدن-281,-
يمدن-288,جميع مقررات الخطة
يمدن-299,جميع مقررات الخطة
يمدن-461,-
يمسح-101,-
يمسح-111,-
يمسح-112,يمسح111
يمسح-121,-
يمسح-122,يمسح121
يمسح-131,-
يمسح-132,يمسح131
يمسح-141,-
يمسح-213,يمسح111
يمسح-214,يمسح213
يمسح-223,يمسح121
يمسح-242, حاسب101 يمسح111 
يمسح-251,يمسح111
يمسح-252,يمسح112
يمسح-253,يمسح111
يمسح-261,يمسح112
يمسح-271,-
يمسح-272,-
يمسح-281,يمسح213
يمسح-288,جميع مقررات الخطة
يمسح-299,جميع مقررات الخطة
يمسح-311,-
يمسح-321,-
يمسح-341,احصا303
يمسح-352,-
يمسح-361,يمسح352
يمسح-421,-
يمسح-422,-
يمسح-432,-
يمسح-433,-
يمسح-434,-
يمسح-443,-
يمسح-451,يمسح352
يمسح-453,-
يمسح-454,-
يمسح-455,-
يمسح-462,-
يمسح-472,احصا303
يمسح-481,-
يمسح-482,-
يمسح-490,-
يمسح-492,يمسح490
يؤمن-101,-
يؤمن-111,-
يؤمن-121,يؤمن101
يؤمن-131,يؤمن101
يؤمن-212,يؤمن111 يؤمن121
يؤمن-222,يؤمن101
يؤمن-223,يؤمن101 يؤمن111
يؤمن-232,يؤمن101
يؤمن-241,يؤمن101
يؤمن-242,يؤمن131
يؤمن-243,يؤمن121 يؤمن131
يؤمن-281,يؤمن121 يؤمن131
يؤمن-288,جميع مقررات الخطة
يؤمن-299,جميع مقررات الخطة
